pu,vtxName,vtxTime_mean,nCleanVtx_mean
0,amvf_gauss,0.0019382,1.0
0,amvf_grid_sparse,0.0065253,1.0
0,amvf_grid_adaptive,0.0065375,1.0
0,amvf_grid_sparse_time,0.010108599999999999,1.0
60,amvf_gauss,0.008553100000000001,22.4
60,amvf_grid_sparse,0.02308,22.4
60,amvf_grid_adaptive,0.023321,22.4
60,amvf_grid_sparse_time,0.14323,23.8
120,amvf_gauss,0.020995000000000003,42.6
120,amvf_grid_sparse,0.046098,42.4
120,amvf_grid_adaptive,0.052444000000000005,42.4
120,amvf_grid_sparse_time,0.45255,46.4
200,amvf_gauss,0.061244,69.6
200,amvf_grid_sparse,0.10550000000000001,69.6
200,amvf_grid_adaptive,0.10756000000000002,69.4
200,amvf_grid_sparse_time,1.3228000000000002,79.0
300,amvf_gauss,0.15333,100.0
300,amvf_grid_sparse,0.21429,99.8
300,amvf_grid_adaptive,0.17075999999999997,99.6
300,amvf_grid_sparse_time,3.1416999999999997,119.8
