pu,vtxName,vtxTime_mean,nCleanVtx_mean,nMergedVtx_mean,nSplitVtx_mean
0,truth,0.00048269999999999997,1.0,0.0,0.0
0,amvf_gauss,0.0019675,1.0,0.0,0.0
0,amvf_grid,0.0030913,1.0,0.0,0.0
0,amvf_grid_sparse,0.0065089,1.0,0.0,0.0
0,amvf_grid_adaptive,0.0065885,1.0,0.0,0.0
0,truth_time,0.00053106,1.0,0.0,0.0
0,amvf_grid_sparse_time,0.011358000000000002,1.0,0.0,0.0
60,truth,0.011839,22.2,0.0,0.8
60,amvf_gauss,0.0092061,22.4,0.0,0.8
60,amvf_grid,0.009317200000000001,21.2,0.0,0.8
60,amvf_grid_sparse,0.024432,22.4,0.0,0.8
60,amvf_grid_adaptive,0.024792,22.4,0.0,0.8
60,truth_time,0.0047478,24.8,0.0,0.0
60,amvf_grid_sparse_time,0.14755999999999997,23.8,0.0,0.0
120,truth,0.021289999999999996,42.6,0.0,1.8
120,amvf_gauss,0.021696,42.6,0.0,1.8
120,amvf_grid,0.017707,40.2,0.0,2.0
120,amvf_grid_sparse,0.04914399999999999,42.4,0.0,2.0
120,amvf_grid_adaptive,0.054889,42.4,0.0,2.0
120,truth_time,0.012147999999999999,47.8,0.0,0.0
120,amvf_grid_sparse_time,0.45954999999999996,46.4,0.0,0.6
200,truth,0.064709,69.4,0.0,2.2
200,amvf_gauss,0.063871,69.6,0.0,3.0
200,amvf_grid,0.04034600000000001,65.4,0.0,2.8
200,amvf_grid_sparse,0.11054,69.6,0.0,3.0
200,amvf_grid_adaptive,0.11241000000000001,69.4,0.0,3.0
200,truth_time,0.028970999999999997,82.4,0.0,0.2
200,amvf_grid_sparse_time,1.3343000000000003,79.0,0.0,1.6
300,truth,0.13906999999999997,97.8,0.0,3.2
300,amvf_gauss,0.15608999999999998,100.0,0.0,6.0
300,amvf_grid,0.07878399999999999,94.0,0.0,5.2
300,amvf_grid_sparse,0.22489000000000003,99.8,0.0,5.4
300,amvf_grid_adaptive,0.17906,99.6,0.0,5.4
300,truth_time,0.05575399999999999,125.0,0.0,0.4
300,amvf_grid_sparse_time,3.1452999999999998,119.8,0.0,1.6
