identifier	time_total_s	time_perevent_s
Reader:EventGenerator	0.02236	0.0002236
Algorithm:ParticleSelector	0.001325	1.325e-05
Algorithm:FatrasSimulation	0.8801	0.008801
Algorithm:DigitizationAlgorithm	0.3657	0.003657
Algorithm:TruthSeedSelector	0.01571	0.0001571
Algorithm:ParticleSmearing	0.02256	0.0002256
Algorithm:TruthTrackFinder	0.03819	0.0003819
Algorithm:TrackFittingAlgorithm	4.484	0.04484
Algorithm:TrackSelector	0.1629	0.001629
Algorithm:AdaptiveMultiVertexFinder	1.085	0.01085
Writer:RootParticleWriter	0.01898	0.0001898
Writer:RootParticleWriter	0.01203	0.0001203
Writer:RootSimHitWriter	0.6802	0.006802
Writer:RootMeasurementWriter	0.7844	0.007844
Writer:RootVertexPerformanceWriter	0.2154	0.002154
Writer:RootParticleWriter:endRun	0.01012	0.0001012
Writer:RootParticleWriter:endRun	0.004095	4.095e-05
Writer:RootSimHitWriter:endRun	0.008131	8.131e-05
Writer:RootMeasurementWriter:endRun	0.04799	0.0004799
Writer:RootVertexPerformanceWriter:endRun	0.00382	3.82e-05
